Accessionid,title,extra,gi,createdate,updatedate,flags,taxid,slen,biomol,moltype,topology,sourcedb,segsetsize,projectid,genome,subtype,subname,assemblygi,assemblyacc,tech,completeness,geneticcode,strand,organism,strain,biosample
LC760542,"Oligocottus rubellio Rosy2020_8 mitochondrial cytb gene for cytochrome b, partial sequence",gi|2461860575|dbj|LC760542.1|,2461860575,18/03/2023,18/03/2023,0,459051,1134,genomic,dna,linear,insd,0,0,mitochondrion,isolate|tissue_type|dev_stage|country|collection_date,Rosy2020_8|pectral fin|mature|USA: California|2020-04-20,0,,,,1,,Oligocottus rubellio,,
LC760541,"Oligocottus rubellio Rosy2020_7 mitochondrial cytb gene for cytochrome b, partial sequence",gi|2461860574|dbj|LC760541.1|,2461860574,18/03/2023,18/03/2023,0,459051,1134,genomic,dna,linear,insd,0,0,mitochondrion,isolate|tissue_type|dev_stage|country|collection_date,Rosy2020_7|pectral fin|mature|USA: California|2020-04-20,0,,,,1,,Oligocottus rubellio,,
LC760472,"Danio rerio skor2 mRNA for SKI family transcriptional corepressor 2, complete cds",gi|2461860572|dbj|LC760472.1|,2461860572,18/03/2023,18/03/2023,0,7955,2223,mRNA,rna,linear,insd,0,0,,,,0,,,,1,,Danio rerio,,
LC760471,"Danio rerio skor1b mRNA for SKI family transcriptional corepressor 1 homolog-B, complete cds",gi|2461860570|dbj|LC760471.1|,2461860570,18/03/2023,18/03/2023,0,7955,2256,mRNA,rna,linear,insd,0,0,,,,0,,,,1,,Danio rerio,,
LC760470,"Danio rerio foxp4 mRNA for forkhead box protein P4, complete cds",gi|2461860568|dbj|LC760470.1|,2461860568,18/03/2023,18/03/2023,0,7955,2091,mRNA,rna,linear,insd,0,0,,,,0,,,,1,,Danio rerio,,
LC760469,"Danio rerio foxp1b mRNA for forkhead box protein P1-B, complete cds",gi|2461860566|dbj|LC760469.1|,2461860566,18/03/2023,18/03/2023,0,7955,1980,mRNA,rna,linear,insd,0,0,,,,0,,,,1,,Danio rerio,,
LC760027,Mus musculus C57BL/6_-143 Tyr gene with 143 nt deletion,gi|2461860537|dbj|LC760027.1|,2461860537,18/03/2023,18/03/2023,0,10090,100,genomic,dna,linear,insd,0,0,,isolate|tissue_type|country|collection_date,C57BL/6_-143|Tail|Japan|2022,0,,,,1,,Mus musculus,,
LC760026,Mus musculus C57BL/6_-13 Tyr gene with 13 nt deletion,gi|2461860536|dbj|LC760026.1|,2461860536,18/03/2023,18/03/2023,0,10090,227,genomic,dna,linear,insd,0,0,,isolate|tissue_type|country|collection_date,C57BL/6_-13|Tail|Japan|2022,0,,,,1,,Mus musculus,,
LC760025,Mus musculus C57BL/6_-4 Tyr gene with 4 nt deletion,gi|2461860535|dbj|LC760025.1|,2461860535,18/03/2023,18/03/2023,0,10090,236,genomic,dna,linear,insd,0,0,,isolate|tissue_type|country|collection_date,C57BL/6_-4|Tail|Japan|2022,0,,,,1,,Mus musculus,,
LC760024,"Mus musculus C57BL/6_wild Tyr gene for tyrosinase, partial cds",gi|2461860533|dbj|LC760024.1|,2461860533,18/03/2023,18/03/2023,0,10090,240,genomic,dna,linear,insd,0,0,,isolate|tissue_type|country|collection_date,C57BL/6_wild|Tail|Japan|2022,0,,,,1,,Mus musculus,,
